Center Image,Left Image,Right Image,Steering,Throttle,Reverse,Speed
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_194.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_194.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_194.jpg,0,1,0,4.497055
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_267.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_267.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_267.jpg,0,1,0,5.194876
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_335.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_335.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_335.jpg,0,1,0,6.119116
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_407.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_407.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_407.jpg,0,1,0,6.80758
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_478.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_478.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_478.jpg,0,1,0,7.71929
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_553.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_553.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_553.jpg,-0.05,1,0,8.623427
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_626.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_626.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_626.jpg,-0.2,1,0,9.287311
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_695.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_695.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_695.jpg,-0.4,1,0,10.14142
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_765.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_765.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_765.jpg,0,1,0,10.77413
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_837.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_837.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_837.jpg,0,1,0,11.47994
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_907.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_907.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_907.jpg,0,1,0,12.34572
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_976.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_976.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_976.jpg,0,1,0,13.12401
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_045.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_045.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_045.jpg,0,1,0,13.81159
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_115.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_115.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_115.jpg,0,1,0,14.65855
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_181.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_181.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_181.jpg,0,1,0,15.35331
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_251.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_251.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_251.jpg,0,1,0,16.18624
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_320.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_320.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_320.jpg,-0.05,1,0,16.7587
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_393.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_393.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_393.jpg,-0.25,1,0,17.57178
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_461.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_461.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_461.jpg,-0.4,1,0,18.1683
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_532.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_532.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_532.jpg,0,1,0,18.96088
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_602.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_602.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_602.jpg,0,1,0,19.57817
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_672.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_672.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_672.jpg,0,1,0,20.38571
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_742.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_742.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_742.jpg,0,1,0,20.98666
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_812.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_812.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_812.jpg,0,1,0,21.78493
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_880.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_880.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_880.jpg,-0.15,1,0,22.36715
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_36_953.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_36_953.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_36_953.jpg,-0.35,1,0,23.0949
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_024.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_024.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_024.jpg,-0.5000001,1,0,23.59295
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_098.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_098.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_098.jpg,-0.7,1,0,24.16984
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_165.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_165.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_165.jpg,-0.8500001,1,0,24.54975
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_238.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_238.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_238.jpg,0,1,0,25.16579
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_312.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_312.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_312.jpg,0,1,0,25.88143
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_384.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_384.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_384.jpg,0,1,0,26.44151
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_458.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_458.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_458.jpg,0,1,0,27.19188
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_525.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_525.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_525.jpg,0,1,0,27.75273
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_592.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_592.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_592.jpg,0,1,0,28.49595
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_667.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_667.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_667.jpg,-0.1,1,0,29.04733
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_740.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_740.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_740.jpg,-0.3,1,0,29.73351
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_810.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_810.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_810.jpg,-0.45,1,0,30.1458
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_880.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_880.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_880.jpg,-0.6500001,1,0,30.12771
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_37_947.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_37_947.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_37_947.jpg,0,1,0,30.1807
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_023.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_023.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_023.jpg,0,1,0,30.18723
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_089.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_089.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_089.jpg,0,1,0,30.18937
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_157.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_157.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_157.jpg,0,1,0,30.19014
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_230.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_230.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_230.jpg,0,1,0,30.19023
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_299.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_299.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_299.jpg,-0.2,1,0,30.18117
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_368.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_368.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_368.jpg,-0.35,1,0,30.16486
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_438.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_438.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_438.jpg,0,1,0,30.17793
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_505.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_505.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_505.jpg,0,1,0,30.18919
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_579.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_579.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_579.jpg,0,1,0,30.18953
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_650.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_650.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_650.jpg,0,1,0,30.19013
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_720.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_720.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_720.jpg,-0.05,1,0,30.19022
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_788.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_788.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_788.jpg,-0.2,1,0,30.18097
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_860.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_860.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_860.jpg,-0.4,1,0,30.15899
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_38_935.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_38_935.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_38_935.jpg,-0.6000001,1,0,30.1346
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_005.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_005.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_005.jpg,0,1,0,30.16901
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_076.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_076.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_076.jpg,0,1,0,30.18576
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_146.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_146.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_146.jpg,0,1,0,30.18941
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_223.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_223.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_223.jpg,0,1,0,30.1907
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_296.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_296.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_296.jpg,0,1,0,30.19016
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_369.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_369.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_369.jpg,0,1,0,30.19047
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_445.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_445.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_445.jpg,0,1,0,30.19061
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_522.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_522.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_522.jpg,0,1,0,30.18987
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_590.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_590.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_590.jpg,0,1,0,30.19016
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_669.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_669.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_669.jpg,0,1,0,30.19041
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_746.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_746.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_746.jpg,0,1,0,30.19053
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_824.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_824.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_824.jpg,0,1,0,30.1905
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_902.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_902.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_902.jpg,0,1,0,30.19049
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_39_977.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_39_977.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_39_977.jpg,0,1,0,30.19051
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_054.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_054.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_054.jpg,0,1,0,30.19052
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_127.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_127.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_127.jpg,-0.1,1,0,30.18808
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_203.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_203.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_203.jpg,-0.3,1,0,30.16917
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_270.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_270.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_270.jpg,-0.45,1,0,30.15206
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_343.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_343.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_343.jpg,0,1,0,30.17421
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_417.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_417.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_417.jpg,0,1,0,30.1866
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_486.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_486.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_486.jpg,0,1,0,30.18942
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_558.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_558.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_558.jpg,0,1,0,30.19031
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_629.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_629.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_629.jpg,0,1,0,30.1903
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_700.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_700.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_700.jpg,0,1,0,30.19072
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_772.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_772.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_772.jpg,0,1,0,30.19013
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_841.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_841.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_841.jpg,0,1,0,30.19023
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_910.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_910.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_910.jpg,0,1,0,30.1903
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_40_988.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_40_988.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_40_988.jpg,0,1,0,30.19031
